Donor Potential,Donor Name,Demographic,Region,State or Province,City,Postal Code,Donation Date,Donation Amount
Not Specified,Vanessa Day,Upper Class,South,Tennessee,Collierville,38017,4/4/2015,37.62
Hi,Jimmy Boswell,Middle Class,South,Alabama,Florence,35630,4/6/2015,1425.16
Hi,Vincent Kenney,Upper Class,South,North Carolina,Apex,27502,4/6/2015,15503.7
Hi,Benjamin Lam,Middle Class,South,Georgia,Atlanta,30318,4/7/2015,274.59
Hi,Stuart Bruce,Upper Class,South,Florida,Boynton Beach,33437,4/8/2015,633.15
Lo,Larry Hahn,Middle Class,South,Arkansas,Rogers,72756,4/8/2015,198.08
Med,Jay Hubbard,Upper Class,South,Florida,Orlando,32839,4/8/2015,4529.95
Lo,Tony Woods,Upper Class,South,Florida,Ocoee,34761,4/9/2015,121.93
Med,Allan Dickinson,Upper Class,South,Arkansas,Van Buren,72956,4/12/2015,34.27
Hi,Steve Raynor,Middle Class,South,South Carolina,Taylors,29687,4/15/2015,291.64
Med,Lynn Payne,Middle Class,South,Virginia,Rose Hill,24281,4/15/2015,48.73
Med,Holly Osborne,Middle Class,South,Arkansas,Hot Springs,71901,4/16/2015,229.58
Not Specified,Neal Helms,Upper-Middle Class,South,North Carolina,Charlotte,28205,4/16/2015,1754.29
Not Specified,Michael Shaffer,Middle Class,South,Florida,Kissimmee,34741,4/17/2015,2262.76
Not Specified,Stuart McLean,Middle Class,South,Florida,Riviera Beach,33404,4/24/2015,224.82
Med,Vicki Hauser,Middle Class,South,Tennessee,Lebanon,37087,4/26/2015,486.81
Lo,Joann Moser,Upper-Middle Class,South,Tennessee,Spring Hill,37174,4/27/2015,2044.9
Med,Jacob Burgess,Upper Class,South,North Carolina,Wilson,27893,4/27/2015,293.76
Hi,Maria Jackson,Upper-Middle Class,South,Florida,Miami,33180,4/29/2015,1612.93
Hi,Valerie Siegel,Middle Class,South,Georgia,Woodstock,30188,4/29/2015,54.13
Hi,Sam Maynard,Upper Class,South,Georgia,Albany,31707,4/30/2015,40.16
Not Specified,Theresa Winters,Middle Class,South,Arkansas,Bryant,72022,5/1/2015,119.99
Not Specified,Rachel Casey,Middle Class,South,Kentucky,Henderson,42420,5/2/2015,360.06
Hi,Gail Ellis,Middle Class,South,South Carolina,Rock Hill,29730,5/3/2015,568.85
Hi,Dan Lamm,Upper Class,South,North Carolina,Asheboro,27203,5/5/2015,417.47
Hi,Carla Braun,Middle Class,South,Tennessee,Maryville,37804,5/6/2015,580.89
Lo,Christian Albright,Upper-Middle Class,South,Tennessee,Smyrna,37167,5/6/2015,917.66
Med,Timothy S Connolly,Upper Class,South,North Carolina,Eden,27288,5/6/2015,82.67
Lo,Benjamin Harvey,Middle Class,South,Georgia,East Point,30344,5/7/2015,319.19
Not Specified,Rick Ellis,Middle Class,South,Virginia,Springfield,22153,5/7/2015,37.12
Hi,Monica McCormick,Upper Class,South,North Carolina,Albemarle,28001,5/8/2015,64.59
Not Specified,Lloyd Levin,Upper Class,South,North Carolina,New Bern,28560,5/9/2015,62.33
Hi,Eva Decker,Middle Class,South,Georgia,La Grange,30240,5/11/2015,522.46
Hi,Martin Kirk,Middle Class,South,Virginia,Chesapeake,23320,5/11/2015,114.11
Lo,Neal Helms,Upper Class,South,North Carolina,Charlotte,28205,5/11/2015,115.3
Hi,Erika Clapp,Upper Class,South,Tennessee,Chattanooga,37421,5/12/2015,834.24
Not Specified,Edna Pierce,Upper Class,South,North Carolina,Goldsboro,27534,5/12/2015,21.3
Hi,Nicole Pope,Upper Class,South,North Carolina,Rocky Mount,27801,5/13/2015,3457.99
Med,Jill Young,Upper Class,South,Louisiana,Monroe,71203,5/13/2015,729.6
Hi,Juanita Bennett,Middle Class,South,Florida,Miramar,33023,5/15/2015,81.01
Hi,Nathan Jenkins,Middle Class,South,Arkansas,Pine Bluff,71603,5/16/2015,882.93
Hi,Sheryl Allred,Upper Class,South,Florida,Palm Coast,32137,5/16/2015,236.99
Not Specified,Gary Koch,Middle Class,South,Mississippi,Clinton,39056,5/16/2015,121.66
Lo,Eleanor Swain,Upper-Middle Class,South,North Carolina,Charlotte,28204,5/17/2015,5689.28
Lo,Ted Durham,Middle Class,South,Florida,North Port,34287,5/17/2015,67.03
Not Specified,Marguerite Reed,Upper Class,South,Alabama,Enterprise,36330,5/18/2015,136.6
Hi,Faye Manning,Middle Class,South,Florida,Saint Petersburg,33710,5/19/2015,44.35
Med,Jeffrey Lloyd,Upper Class,South,Virginia,Oakton,22124,5/21/2015,1377.46
Not Specified,Matthew Welsh,Upper Class,South,Georgia,Dalton,30721,5/22/2015,129.86
Hi,Bob Harrington,Middle Class,South,North Carolina,Kannapolis,28081,5/23/2015,73.33
Not Specified,Alison Jones,Middle Class,South,North Carolina,Wilmington,28403,5/23/2015,13.42
Hi,Douglas English,Middle Class,South,Florida,Palm Bay,32905,5/24/2015,1668.99
Not Specified,Brad Pearce,Middle Class,South,Florida,Deland,32720,5/25/2015,249.25
Hi,Kyle Fink,Middle Class,South,Virginia,Petersburg,23805,5/26/2015,28.09
Lo,Sharon Thomas,Middle Class,South,Georgia,College Park,30337,5/27/2015,341.27
Med,Jacqueline Noble,Upper Class,South,Florida,Miami,33181,5/27/2015,173.97
Hi,Ashley C Bridges,Upper Class,South,Arkansas,Little Rock,72209,5/29/2015,139.86
Hi,Jackie McCullough,Middle Class,South,Florida,Jacksonville,32216,5/30/2015,215.25
Lo,Janice Boswell,Upper-Middle Class,South,Florida,Port Orange,32127,5/31/2015,12.77
Lo,Jeff Meadows,Upper Class,South,Kentucky,Paducah,42003,5/31/2015,2230.38
Hi,Kathy Norman,Middle Class,South,Virginia,Arlington,22204,6/2/2015,49.42
Med,Jon Hale,Upper Class,South,Florida,Belle Glade,33430,6/2/2015,20.63
Not Specified,Eleanor Swain,Middle Class,South,North Carolina,Charlotte,28204,6/2/2015,204.11
Not Specified,Jon Beasley,Upper Class,South,Georgia,Marietta,30062,6/2/2015,807.21
Med,Daniel Sigmon,Upper-Middle Class,South,Florida,Belle Glade,33430,6/4/2015,141.25
Med,Florence Walters,Middle Class,South,Florida,Bradenton,34210,6/4/2015,77.62
Not Specified,Christina Thompson,Middle Class,South,South Carolina,Anderson,29624,6/4/2015,1502.79
Not Specified,Jane Howell,Upper Class,South,Louisiana,Baton Rouge,70802,6/4/2015,30.96
Hi,Jacqueline Noble,Upper Class,South,Florida,Miami,33181,6/5/2015,73.97
Not Specified,Allen Nash,Upper-Middle Class,South,Virginia,Waynesboro,22980,6/5/2015,161.82
Hi,Lloyd Levin,Upper Class,South,North Carolina,New Bern,28560,6/6/2015,361.72
Hi,Marguerite Reed,Upper Class,South,Alabama,Enterprise,36330,6/6/2015,317.1
Lo,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,6/7/2015,1234.44
Med,Calvin J Marcus,Middle Class,South,Florida,Coconut Creek,33063,6/7/2015,1636.9
Med,Natalie Snow,Middle Class,South,Alabama,Selma,36701,6/8/2015,203.67
Not Specified,Alfred Burton,Middle Class,South,Alabama,Montgomery,36116,6/10/2015,106.97
Hi,Benjamin Lam,Upper Class,South,Georgia,Atlanta,30318,6/13/2015,29.88
Hi,Jane Freeman,Middle Class,South,Florida,Plant City,33566,6/15/2015,8127.55
Hi,Jackie Burke,Middle Class,South,Florida,Carol City,33055,6/16/2015,80.85
Hi,Miriam Francis,Middle Class,South,Florida,Coral Springs,33065,6/16/2015,219.73
Lo,Nicole Pope,Upper Class,South,North Carolina,Rocky Mount,27801,6/16/2015,73.29
Med,Craig Wong,Upper-Middle Class,South,Arkansas,Benton,72015,6/16/2015,2138.53
Med,Steve McKee,Upper-Middle Class,South,Tennessee,Murfreesboro,37130,6/17/2015,29.98
Hi,Neal Helms,Upper-Middle Class,South,North Carolina,Charlotte,28205,6/18/2015,198.19
Hi,Alfred Burton,Middle Class,South,Alabama,Montgomery,36116,6/19/2015,3445.81
Hi,Ken Watson,Middle Class,South,Florida,Tallahassee,32303,6/19/2015,826.78
Hi,Lester Erickson Frederick,Upper Class,South,Virginia,Winchester,22601,6/19/2015,37.3
Med,Angela Rose,Middle Class,South,Florida,Spring Hill,34609,6/19/2015,94.47
Lo,Gladys Holloway,Middle Class,South,Florida,Oakland Park,33334,6/20/2015,210.65
Med,Anthony Han,Upper Class,South,Tennessee,Memphis,38109,6/20/2015,205.14
Not Specified,Michelle Bryant Phillips,Upper-Middle Class,South,Georgia,Tucker,30084,6/23/2015,1140.95
Hi,Christian Albright,Upper-Middle Class,South,Tennessee,Smyrna,37167,6/25/2015,56.59
Not Specified,Rodney Kearney,Middle Class,South,Louisiana,Metairie,70003,6/25/2015,393.98
Not Specified,Gene Gilliam,Upper-Middle Class,South,Georgia,Atlanta,30318,6/29/2015,220.48
Lo,Bruce Murray,Middle Class,South,Arkansas,Pine Bluff,71603,6/30/2015,484.03
Not Specified,Melinda Thornton,Middle Class,South,Virginia,Reston,20190,7/3/2015,343.79
Not Specified,Bradley Schroeder,Upper Class,South,Alabama,Auburn,36830,7/4/2015,9280.72
Not Specified,Josephine Dalton,Middle Class,South,Virginia,Richmond,23223,7/5/2015,102.11
Not Specified,Sidney Scarborough,Upper-Middle Class,South,Virginia,Charlottesville,22901,7/5/2015,296.94
Not Specified,Albert Tyson,Middle Class,South,Mississippi,Olive Branch,38654,7/6/2015,1300.54
Hi,Dan Lamm,Upper Class,South,North Carolina,Asheboro,27203,7/7/2015,91.39
Not Specified,Cecil Berger,Middle Class,South,Arkansas,Bella Vista,72714,7/7/2015,276.76
Hi,Maria Jackson,Upper-Middle Class,South,Florida,Miami,33180,7/8/2015,885.94
Not Specified,Josephine Foley,Middle Class,South,Florida,Jupiter,33458,7/8/2015,686.68
Lo,Carlos Adkins,Upper-Middle Class,South,Florida,Land O Lakes,34639,7/9/2015,4086.5
Lo,Lori Wolfe,Middle Class,South,Mississippi,Hattiesburg,39401,7/10/2015,81.31
Med,James Fox,Middle Class,South,Tennessee,Franklin,37064,7/10/2015,168.12
Med,Regina Langley,Upper Class,South,Georgia,Martinez,30907,7/10/2015,293.94
Med,Elisabeth Gorman,Upper-Middle Class,South,Louisiana,Lafayette,70506,7/11/2015,59.24
Hi,Rhonda Tuttle,Upper Class,South,Louisiana,Kenner,70065,7/12/2015,25.57
Med,Vanessa Casey Jones,Upper-Middle Class,South,Florida,Deland,32720,7/12/2015,229.4
Not Specified,Anthony Greer,Upper Class,South,Georgia,Columbus,31907,7/15/2015,6793.17
Hi,Rachel Casey,Middle Class,South,Kentucky,Henderson,42420,7/16/2015,34.55
Hi,Gary Koch,Upper-Middle Class,South,Mississippi,Clinton,39056,7/18/2015,723.54
Not Specified,Benjamin Lam,Middle Class,South,Georgia,Atlanta,30318,7/18/2015,7092.73
Not Specified,Catherine Casey,Upper Class,South,Arkansas,Benton,72015,7/19/2015,57.35
Med,Harriet Bowman,Middle Class,South,South Carolina,Hilton Head Island,29915,7/20/2015,520.09
Med,Francis Edwards,Middle Class,South,Georgia,Evans,30809,7/21/2015,292.71
Not Specified,Russell W Melton,Upper Class,South,Alabama,Northport,35473,7/21/2015,548.82
Hi,Sean Sparks,Upper Class,South,North Carolina,Durham,27707,7/22/2015,252.43
Med,Geoffrey Zhu,Upper-Middle Class,South,Tennessee,Kingsport,37664,7/22/2015,227
Hi,Jack Horn,Upper-Middle Class,South,Georgia,Statesboro,30458,7/23/2015,237.62
Lo,Danielle Baird,Middle Class,South,Florida,Fort Lauderdale,33311,7/23/2015,438.13
Med,Jay Hubbard,Upper Class,South,Florida,Orlando,32839,7/23/2015,9.64
Lo,Diana Rosenthal,Middle Class,South,Alabama,Bessemer,35020,7/24/2015,214.16
Med,Sidney Gilliam,Middle Class,South,Florida,Riverview,33569,7/24/2015,7.08
Med,Nicholas Donnelly,Upper Class,South,Florida,Port Charlotte,33952,7/26/2015,54.98
Hi,Joan Beach,Middle Class,South,Alabama,Mobile,36608,7/27/2015,1188.63
Hi,Jack Morse,Upper Class,South,Florida,Dunedin,34698,7/28/2015,41.29
Not Specified,Claudia White,Upper-Middle Class,South,Tennessee,Gallatin,37066,7/29/2015,65.85
Lo,Eleanor Swain,Middle Class,South,North Carolina,Charlotte,28204,7/30/2015,189.83
Med,Todd D Norris,Upper Class,South,Virginia,Newport News,23602,7/30/2015,982.22
Lo,Ray Silverman,Upper-Middle Class,South,Florida,Ponte Vedra Beach,32004,7/31/2015,78.42
Not Specified,Rodney Proctor,Middle Class,South,Kentucky,Nicholasville,40356,7/31/2015,308.04
Not Specified,William Pace,Upper Class,South,Arkansas,Hot Springs,71901,8/4/2015,673.03
Not Specified,Eva Decker,Upper Class,South,Georgia,La Grange,30240,8/5/2015,304.41
Not Specified,Sandra Sharma,Upper-Middle Class,South,Tennessee,Morristown,37814,8/5/2015,27.47
Hi,Constance Robertson,Middle Class,South,Florida,Tampa,33614,8/6/2015,45
Hi,Katherine W Epstein,Middle Class,South,Mississippi,Jackson,39212,8/6/2015,139.39
Hi,Sandy Hunt,Middle Class,South,Florida,Altamonte Springs,32701,8/7/2015,3506.78
Hi,Donald Melton,Middle Class,South,North Carolina,New Bern,28560,8/8/2015,186.19
Hi,Miriam Bowman,Upper-Middle Class,South,Florida,Hollywood,33021,8/9/2015,344.87
Hi,Joan Beach,Middle Class,South,Alabama,Mobile,36608,8/12/2015,719.86
Med,Peter Hedrick,Upper Class,South,Virginia,Virginia Beach,23464,8/13/2015,693.46
Not Specified,Rodney Kearney,Middle Class,South,Louisiana,Metairie,70003,8/15/2015,1323.67
Hi,Helen Ferguson,Upper Class,South,Florida,Winter Springs,32708,8/17/2015,212.23
Lo,Laurence Cummings,Upper-Middle Class,South,Florida,Lehigh Acres,33971,8/17/2015,20.22
Hi,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,8/20/2015,2210.86
Lo,Eleanor Swain,Middle Class,South,North Carolina,Charlotte,28204,8/21/2015,5516.44
Hi,Theresa Winters,Middle Class,South,Arkansas,Bryant,72022,8/22/2015,106.75
Not Specified,"Jain, Dana",Upper-Middle Class,South,Florida,Apopka,32712,8/25/2015,1022.42
Hi,Jacob Burgess,Upper Class,South,North Carolina,Wilson,27893,8/26/2015,230.96
Hi,Kathy Norman,Middle Class,South,Virginia,Arlington,22204,8/26/2015,243.43
Lo,Lee Xu,Middle Class,South,Alabama,Madison,35756,8/26/2015,168.15
Not Specified,Anne Schultz,Upper Class,South,Georgia,Athens,30605,8/26/2015,118.99
Hi,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,8/28/2015,23065.98
Not Specified,Alison Jones,Middle Class,South,North Carolina,Wilmington,28403,8/28/2015,337.93
Hi,Sharon Thomas,Middle Class,South,Georgia,College Park,30337,8/29/2015,187.54
Hi,Evelyn Garcia,Upper Class,South,North Carolina,Laurinburg,28352,8/30/2015,20.26
Lo,Geoffrey H Wong,Upper Class,South,Georgia,Rome,30161,8/30/2015,95.67
Lo,Kevin Rouse,Upper Class,South,Arkansas,Bentonville,72712,8/30/2015,21.15
Med,Jerry Webster,Upper Class,South,Florida,Fruit Cove,32259,8/30/2015,8.79
Hi,Carl Hobbs,Upper Class,South,North Carolina,Greenville,27834,9/1/2015,37.6
Lo,Danielle Baird,Upper Class,South,Florida,Fort Lauderdale,33311,9/1/2015,324.62
Med,Helen Ferguson,Upper Class,South,Florida,Winter Springs,32708,9/1/2015,139.05
Not Specified,Lee Xu,Middle Class,South,Alabama,Madison,35756,9/3/2015,426.74
Hi,Francis Edwards,Middle Class,South,Georgia,Evans,30809,9/5/2015,318.64
Not Specified,George Yates,Upper Class,South,Alabama,Homewood,35209,9/7/2015,2.66
Hi,Jon Hale,Upper Class,South,Florida,Belle Glade,33430,9/9/2015,39.36
Lo,Julian French,Middle Class,South,Georgia,Warner Robins,31088,9/13/2015,3253.09
Lo,Sharon Thomas,Middle Class,South,Georgia,College Park,30337,9/13/2015,172.16
Hi,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,9/14/2015,6983.56
Lo,Kathy Shah,Middle Class,South,North Carolina,Garner,27529,9/15/2015,974.14
Hi,Alison Jones,Middle Class,South,North Carolina,Wilmington,28403,9/16/2015,837.64
Med,Carole Creech,Middle Class,South,Florida,Lake Worth,33461,9/16/2015,593.38
Not Specified,Tina Cameron,Upper-Middle Class,South,Tennessee,Johnson City,37604,9/17/2015,17.48
Lo,Jill Clements,Upper Class,South,Virginia,Montclair,22025,9/18/2015,403.25
Not Specified,Jesse Fisher,Upper-Middle Class,South,Virginia,Suffolk,23434,9/19/2015,24.67
Hi,Vicki Shannon,Upper Class,South,Virginia,Tysons Corner,22102,9/20/2015,3782.29
Not Specified,Kim Weiss,Middle Class,South,Florida,Miami,33132,9/20/2015,131.72
Hi,Cecil Berger,Middle Class,South,Arkansas,Bella Vista,72714,9/22/2015,395.85
Hi,Laurie Petty,Middle Class,South,Florida,Jupiter,33458,9/22/2015,515.37
Med,Bernard Thompson,Upper Class,South,North Carolina,Raleigh,27604,9/22/2015,214.14
Med,Lynn Payne,Middle Class,South,Virginia,Rose Hill,24281,9/22/2015,60.07
Med,Stacey Pearson,Middle Class,South,Kentucky,Nicholasville,40356,9/24/2015,182.35
Hi,Earl Alston,Middle Class,South,South Carolina,Greenville,29611,9/25/2015,1135.9
Hi,Gene Gilliam,Upper-Middle Class,South,Georgia,Atlanta,30318,9/25/2015,14647.56
Not Specified,Kevin Rouse,Upper Class,South,Arkansas,Bentonville,72712,9/27/2015,485.11
Not Specified,Russell W Melton,Upper Class,South,Alabama,Northport,35473,9/27/2015,139.42
Hi,Marshall Sutherland,Middle Class,South,Alabama,Phenix City,36869,9/29/2015,6.77
Med,Jimmy Boswell,Middle Class,South,Alabama,Florence,35630,9/29/2015,71.58
Lo,Dwight Banks,Middle Class,South,Mississippi,Meridian,39301,10/1/2015,5.63
Hi,Leslie Woodard,Upper Class,South,South Carolina,Charleston,29418,10/2/2015,1069.11
Hi,Martin Kirk,Middle Class,South,Virginia,Chesapeake,23320,10/3/2015,567.62
Med,Louise Webster Sharma,Upper Class,South,North Carolina,Hickory,28601,10/3/2015,15.25
Hi,Marshall Sutherland,Middle Class,South,Alabama,Phenix City,36869,10/4/2015,174.5
Lo,Dennis Thornton,Upper Class,South,Georgia,Augusta,30904,10/6/2015,13.65
Med,Edna Michael,Upper-Middle Class,South,Florida,Port Charlotte,33952,10/6/2015,38.23
Not Specified,Kent Gill,Middle Class,South,Alabama,Opelika,36801,10/6/2015,95.95
Lo,Alfred Singh,Upper Class,South,Virginia,Mechanicsville,23111,10/7/2015,16.71
Not Specified,Derek Tuttle,Middle Class,South,South Carolina,Aiken,29801,10/8/2015,84.76
Hi,Ricky Y Newman,Middle Class,South,Georgia,Hinesville,31313,10/9/2015,2009.5
Not Specified,Norman Ward,Upper Class,South,Florida,Sarasota,34239,10/9/2015,1599.93
Hi,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,10/12/2015,180.48
Lo,Milton Pollock,Middle Class,South,Alabama,Gadsden,35904,10/12/2015,10.89
Hi,Vivian Mayer,Upper Class,South,Georgia,Roswell,30076,10/13/2015,56.55
Lo,Alfred Singh,Upper Class,South,Virginia,Mechanicsville,23111,10/13/2015,1337.41
Lo,Kristine Holden,Upper-Middle Class,South,South Carolina,Mauldin,29662,10/14/2015,22.11
Hi,Charlene Reynolds,Upper Class,South,Florida,Davie,33314,10/16/2015,210.5
Med,Gary Koch,Upper-Middle Class,South,Mississippi,Clinton,39056,10/16/2015,269.5
Hi,Marian Anthony,Middle Class,South,Florida,Delray Beach,33445,10/19/2015,1219.72
Not Specified,Tara Powers Underwood,Upper-Middle Class,South,Mississippi,Greenville,38701,10/20/2015,166.66
Hi,Billy Bowden,Middle Class,South,Alabama,Talladega,35160,10/22/2015,5647.74
Not Specified,Albert Tyson,Middle Class,South,Mississippi,Olive Branch,38654,10/22/2015,38.06
Lo,Jennifer Zimmerman,Upper Class,South,Arkansas,Jonesboro,72401,10/23/2015,618.36
Not Specified,Alicia Maynard,Upper-Middle Class,South,Tennessee,Jackson,38301,10/23/2015,57.24
Med,Marshall Brandt Briggs,Upper Class,South,Tennessee,Maryville,37804,10/24/2015,792.11
Med,Hazel Lindsay,Upper-Middle Class,South,Mississippi,Long Beach,39560,10/25/2015,180.27
Med,Courtney Boyd,Upper Class,South,Virginia,Fairfax,20151,10/26/2015,151.32
Not Specified,Hannah Tyson,Middle Class,South,Arkansas,Paragould,72450,10/26/2015,433.35
Hi,Mike T O'Neill,Middle Class,South,South Carolina,North Charleston,29406,10/27/2015,6269.79
Lo,Regina Langley,Upper Class,South,Georgia,Martinez,30907,10/28/2015,267.32
Hi,Dan Lamm,Upper Class,South,North Carolina,Asheboro,27203,10/29/2015,94.27
Hi,Eleanor Swain,Middle Class,South,North Carolina,Charlotte,28204,10/29/2015,393.81
Med,Josephine Dalton,Upper-Middle Class,South,Virginia,Richmond,23223,10/29/2015,257.48
Hi,Sheryl Alexander,Upper-Middle Class,South,Virginia,Colonial Heights,23834,10/31/2015,572.18
Med,Colleen Andrews,Upper-Middle Class,South,North Carolina,Mint Hill,28227,10/31/2015,450.49
Med,Kim Weiss,Middle Class,South,Florida,Miami,33132,10/31/2015,305.12
Not Specified,Ricky Allred,Middle Class,South,South Carolina,Columbia,29203,10/31/2015,12.39
Hi,Renee Huang,Upper-Middle Class,South,Florida,Coral Springs,33065,11/4/2015,129.43
Lo,Gene Gilliam,Upper-Middle Class,South,Georgia,Atlanta,30318,11/4/2015,121.87
Not Specified,Hazel Lindsay,Upper-Middle Class,South,Mississippi,Long Beach,39560,11/5/2015,229.63
Lo,Marian Anthony,Middle Class,South,Florida,Delray Beach,33445,11/6/2015,42.68
Med,Joann Moser,Upper-Middle Class,South,Tennessee,Spring Hill,37174,11/6/2015,1183.01
Hi,Cecil Berger,Middle Class,South,Arkansas,Bella Vista,72714,11/7/2015,534.93
Med,Herbert Reddy,Upper Class,South,North Carolina,Thomasville,27360,11/8/2015,174.35
Lo,Cathy Burgess,Upper-Middle Class,South,Louisiana,Shreveport,71109,11/10/2015,31.98
Med,Anthony Han,Upper Class,South,Tennessee,Memphis,38109,11/10/2015,146.65
Med,Meredith Humphrey,Middle Class,South,North Carolina,Cary,27511,11/11/2015,75.52
Med,Ray Cook,Upper Class,South,Louisiana,Alexandria,71301,11/11/2015,110.6
Hi,David Wrenn,Upper Class,South,Kentucky,Georgetown,40324,11/12/2015,19.79
Hi,Mitchell Ross,Upper-Middle Class,South,Virginia,Burke,22015,11/12/2015,833.23
Med,Bruce Murray,Middle Class,South,Arkansas,Pine Bluff,71603,11/12/2015,104.78
Hi,Jeanne Chandler,Middle Class,South,Tennessee,Columbia,38401,11/13/2015,356.55
Not Specified,Hannah Tyson,Middle Class,South,Arkansas,Paragould,72450,11/13/2015,381.56
Hi,Bonnie Matthews Rowland,Upper Class,South,Florida,Miami,33916,11/14/2015,324.6
Hi,Vicki Shannon,Upper Class,South,Virginia,Tysons Corner,22102,11/14/2015,120.26
Med,Gary Hoffman,Upper Class,South,Florida,Land O Lakes,34639,11/14/2015,10.05
Hi,"Fox, Nathan",Middle Class,South,South Carolina,Myrtle Beach,29577,11/15/2015,1029.63
Hi,Martin Kirk,Middle Class,South,Virginia,Chesapeake,23320,11/15/2015,54.57
Med,Elisabeth Shaw,Upper Class,South,Florida,Ormond Beach,32174,11/16/2015,65.85
Not Specified,Jill Young,Upper Class,South,Louisiana,Monroe,71203,11/17/2015,158.92
Hi,Carolyn Fisher,Upper Class,South,Arkansas,Sherwood,72116,11/18/2015,4780.84
Hi,Shannon McPherson,Upper Class,South,North Carolina,High Point,27260,11/18/2015,46.85
Hi,George McLamb,Middle Class,South,Virginia,Alexandria,22304,11/19/2015,699.89
Not Specified,Alfred Singh,Upper Class,South,Virginia,Mechanicsville,23111,11/21/2015,1126.49
Hi,Debbie Dillon,Upper Class,South,Georgia,Roswell,30076,11/23/2015,1202.66
Lo,Dean Solomon,Upper Class,South,North Carolina,Gastonia,28052,11/23/2015,406.26
Hi,Kent Kerr,Middle Class,South,Tennessee,Knoxville,37918,11/25/2015,292.23
Lo,Valerie Siegel,Middle Class,South,Georgia,Woodstock,30188,11/25/2015,834.1
Hi,Russell W Melton,Upper Class,South,Alabama,Northport,35473,11/26/2015,126.84
Lo,Christina Thompson,Middle Class,South,South Carolina,Anderson,29624,11/28/2015,169.31
Med,Lynn Payne,Middle Class,South,Virginia,Rose Hill,24281,11/28/2015,210.76
Lo,Colleen Andrews,Upper-Middle Class,South,North Carolina,Mint Hill,28227,11/29/2015,1214.63
Not Specified,Allan Dickinson,Upper Class,South,Arkansas,Van Buren,72956,11/29/2015,379.72
Not Specified,Tina Cameron,Upper-Middle Class,South,Tennessee,Johnson City,37604,11/29/2015,187.23
Hi,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,12/1/2015,141.82
Hi,Danny Richmond,Upper Class,South,Florida,Miami,33142,12/4/2015,86.93
Lo,Caroline Morton,Upper Class,South,Florida,Miami,33178,12/5/2015,1221.92
Med,Sam Rouse,Upper-Middle Class,South,Georgia,Forest Park,30297,12/7/2015,899.81
Hi,Donna Block,Upper-Middle Class,South,Georgia,Dalton,30721,12/8/2015,32.94
Lo,Jay Simon,Upper Class,South,Arkansas,Rogers,72756,12/8/2015,100.11
Med,Renee Ellington,Middle Class,South,Mississippi,Jackson,39212,12/9/2015,252.35
Hi,"Burgess, Jacob",Upper Class,South,North Carolina,Wilson,27893,12/10/2015,3283.58
Med,Rachel Casey,Middle Class,South,Kentucky,Henderson,42420,12/11/2015,31.73
Not Specified,Kim Ellington,Upper-Middle Class,South,Tennessee,Nashville,37211,12/12/2015,73.48
Hi,Christopher Norton Patterson,Middle Class,South,Georgia,Macon,31204,12/14/2015,69.66
Not Specified,Christina Thompson,Middle Class,South,South Carolina,Anderson,29624,12/14/2015,50.59
Med,Christopher Norton Patterson,Middle Class,South,Georgia,Macon,31204,12/15/2015,513.33
Not Specified,Vicki Shannon,Upper Class,South,Virginia,Tysons Corner,22102,12/15/2015,148.67
Hi,Karl Goodwin,Middle Class,South,Florida,Tamarac,33319,12/17/2015,283.97
Not Specified,Samuel Newman,Upper Class,South,South Carolina,Summerville,29483,12/18/2015,439.17
Med,Geoffrey Zhu,Upper-Middle Class,South,Tennessee,Kingsport,37664,12/19/2015,62.12
Not Specified,Christopher Norton Patterson,Upper Class,South,Georgia,Macon,31204,12/20/2015,586.55
Not Specified,Crystal Crabtree,Upper Class,South,Florida,West Palm Beach,33407,12/22/2015,64.48
Hi,Rita Vaughn,Middle Class,South,Arkansas,Benton,72015,12/23/2015,68.75
Not Specified,Michelle Steele,Middle Class,South,Alabama,Enterprise,36330,12/23/2015,2861.53
Hi,Neil Parker,Upper-Middle Class,South,Alabama,Decatur,35601,12/25/2015,162.39
Not Specified,Dana Jain,Upper-Middle Class,South,Florida,Apopka,32712,12/26/2015,115.89
Hi,Nicholas Pritchard,Upper Class,South,Tennessee,Bristol,37620,12/27/2015,89.6
Med,Calvin J Marcus,Middle Class,South,Florida,Coconut Creek,33063,12/27/2015,109.39
Not Specified,Anne Nguyen,Middle Class,South,Virginia,Colonial Heights,23834,12/27/2015,368.39
Hi,Dawn Langley Conrad,Middle Class,South,Florida,Port Saint Lucie,34952,12/28/2015,68.1
Med,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,12/28/2015,235.94
Hi,Dale Yu,Upper Class,South,Virginia,Danville,24541,12/29/2015,225.76
Hi,Jay Hubbard,Upper Class,South,Florida,Orlando,32839,12/29/2015,3772.19
Not Specified,Eva Decker,Upper Class,South,Georgia,La Grange,30240,12/29/2015,1254.9
Hi,Sidney Scarborough,Upper-Middle Class,South,Virginia,Charlottesville,22901,12/31/2015,1392.41
